Package                           Current   Wanted  Latest  Location                                       Depended by
@types/react                       18.3.3  18.3.27  19.2.7  node_modules/@types/react                      photobasket
@types/react-dom                   18.3.0   18.3.7  19.2.3  node_modules/@types/react-dom                  photobasket
@typescript-eslint/eslint-plugin   7.15.0   7.18.0  8.48.0  node_modules/@typescript-eslint/eslint-plugin  photobasket
@typescript-eslint/parser          7.15.0   7.18.0  8.48.0  node_modules/@typescript-eslint/parser         photobasket
@vitejs/plugin-react                4.3.1    4.7.0   5.1.1  node_modules/@vitejs/plugin-react              photobasket
bootstrap                           5.3.7    5.3.8   5.3.8  node_modules/bootstrap                         photobasket
eslint                             8.57.0   8.57.1  9.39.1  node_modules/eslint                            photobasket
eslint-plugin-react-hooks           4.6.2    4.6.2   7.0.1  node_modules/eslint-plugin-react-hooks         photobasket
eslint-plugin-react-refresh         0.4.7   0.4.24  0.4.24  node_modules/eslint-plugin-react-refresh       photobasket
react                              18.3.1   18.3.1  19.2.0  node_modules/react                             photobasket
react-dom                          18.3.1   18.3.1  19.2.0  node_modules/react-dom                         photobasket
typescript                          5.5.3    5.9.3   5.9.3  node_modules/typescript                        photobasket
vite                               5.4.21   5.4.21   7.2.4  node_modules/vite                              photobasket
